Date,Open,High,Low,Close,Volume
2022-02-08,68.38038,68.98512,67.79058,68.11161,2803404
2022-02-09,68.20119,69.61972,67.82790,68.44010,5310348
2022-02-10,68.31321,69.05980,67.75327,67.85779,3345536
2022-02-11,67.60392,68.27585,66.93199,67.17090,1301741
2022-02-14,67.37250,67.60395,66.59604,66.86481,2267567
2022-02-15,67.08133,67.30531,66.26008,66.44672,915389
2022-02-16,66.59603,66.70055,65.81211,66.31979,552856
2022-02-17,65.94650,67.04400,65.70013,66.21528,2142672
2022-02-18,65.88677,67.70099,65.88677,67.31277,2067350
2022-02-21,67.71592,68.79848,66.93200,67.33516,2214161
2022-02-22,67.19331,67.55913,65.99876,66.63336,2113420
2022-02-23,66.78268,67.49195,65.04313,66.35712,3938075
2022-02-24,65.88678,65.88678,64.46825,65.09539,2314921
2022-02-25,65.32682,65.66278,64.05761,64.28159,2027329
2022-02-28,64.58023,65.84944,63.64699,65.55080,2326644
2022-03-01,70.46338,70.46338,68.12655,68.40279,11205457
2022-03-02,67.93991,70.18716,67.56662,69.42563,7390044
2022-03-03,69.72425,71.34436,69.61973,70.91134,11658343
2022-03-04,70.55297,71.67286,70.29167,70.76949,3900595
2022-03-07,70.92965,71.57793,67.58147,69.28225,6335213
2022-03-08,68.94669,69.40430,67.87893,68.11536,2525207
2022-03-09,68.26027,68.60347,66.96371,68.11536,4171859
2022-03-10,68.75599,68.87040,67.78738,68.41278,1132010
2022-03-11,68.18400,68.87041,67.42131,67.87129,1164457
2022-03-14,68.26024,68.26024,66.54420,66.77301,1353967
2022-03-15,67.10861,67.25352,65.28579,66.00272,1262623
2022-03-16,66.34592,66.71964,65.78154,66.11712,741116
2022-03-17,66.13236,66.61285,65.40018,65.49933,574677
2022-03-18,65.20952,65.20952,62.61639,62.91384,3365301
2022-03-21,63.98159,65.55272,63.37907,63.63076,3910864
2022-03-22,63.92058,64.33243,63.11214,63.26467,1370318
2022-03-23,63.26467,63.26467,63.26467,63.26467,0
2022-03-24,63.22654,63.64602,62.76893,63.50873,768055
2022-03-25,63.64602,63.76042,62.92910,63.01300,633633
2022-03-28,63.30282,64.37058,62.54013,64.11889,1086114
2022-03-29,64.44683,64.82817,64.06549,64.56886,1162071
2022-03-30,64.40871,64.40871,62.92910,63.36383,1819695
2022-03-31,63.22654,63.67652,63.22654,63.40195,1295794
2022-04-01,63.30281,63.91296,63.15028,63.34095,993326
2022-04-04,61.76982,62.79945,61.24357,61.64780,1626371
2022-04-05,62.00625,62.23505,61.12916,61.47999,600492
2022-04-06,61.16729,62.80706,60.55715,60.72494,2507663
2022-04-07,61.01475,61.05288,60.25206,60.42748,1446029
2022-04-08,59.71820,61.31221,59.71820,61.18255,2141815
2022-04-11,62.92146,63.87481,62.54011,63.55449,3961781
2022-04-12,64.05025,64.05025,62.84521,63.24180,1576604
2022-04-13,63.48586,63.68416,62.69266,62.90622,2138464
2022-04-14,63.03587,63.16552,62.47149,62.56300,1867346
2022-04-15,62.84520,63.11214,62.23505,62.45623,1128595
2022-04-18,62.62403,67.13912,62.56302,67.00947,14234819
2022-04-19,67.09336,67.78740,65.40020,65.62138,4419457
2022-04-20,65.74340,66.12475,64.08075,64.37820,1758882
2022-04-21,64.06549,64.67564,63.83668,64.40107,675099
2022-04-22,64.43920,65.69763,63.92820,65.16375,1527981
2022-04-25,65.97219,66.65861,65.62899,65.75864,1239041
2022-04-26,65.75103,65.75103,64.67565,64.85107,783135
2022-04-27,65.43070,66.42981,64.14939,64.91207,2524399
2022-04-28,64.46971,65.43832,63.91296,64.49259,1978240
2022-04-29,64.49259,64.49259,64.49259,64.49259,0
2022-05-02,64.49259,64.49259,64.49259,64.49259,0
2022-05-03,64.49259,64.49259,64.49259,64.49259,0
2022-05-04,64.49259,64.49259,64.49259,64.49259,0
2022-05-05,64.49259,64.49259,64.49259,64.49259,0
2022-05-06,64.40869,64.44683,63.30280,63.33331,2040410
2022-05-09,63.23417,63.33331,60.63341,60.89272,3524752
2022-05-10,60.89272,61.66303,60.18342,60.80120,2249661
2022-05-11,61.41138,61.61992,60.80120,60.96340,4651599
2022-05-12,61.13332,61.21056,59.66581,60.50769,2260989
2022-05-13,61.48088,63.91386,61.48088,62.93295,3637398
2022-05-16,62.63946,62.63946,60.94024,61.24146,1955736
2022-05-17,61.44228,61.77440,61.01748,61.09471,565021
2022-05-18,61.09470,61.69715,60.36867,60.82437,882579
2022-05-19,60.94023,61.39593,60.55405,60.66990,916729
2022-05-20,60.63128,61.09470,60.33005,60.89388,992406
